cast,clanek,zakon,bod,typ,paragrafy,instrukce,plny_text_znaků
PRVNÍ,I,283/2021,1,nahrazeni,1,V nadpisu § 1 se slovo „úpravy“ nahrazuje slovy „a účel zákona“.,0
PRVNÍ,I,283/2021,2,nahrazeni,1,"V § 1 odst. 1 se slova „orgánů stavební správy, orgánů územního plánování a orgánů územní samosprávy“ nahrazují slovy „úřadů rozvoje území, územních samosprávných celků a dotčených orgánů“.",0
PRVNÍ,I,283/2021,3,vlozeni,1,"V § 1 odst. 3 se za slovo „pro“ vkládají slova „bydlení, práci, podnikání a život lidí,“.",0
PRVNÍ,I,283/2021,4,vlozeni_plny,1;1a,"Za § 1 se vkládají nové § 1a a 1b, které včetně nadpisů a poznámek pod čarou č. 68 až 78 znějí: „§ 1a Základní zásady (1) Orgány územního plánování a stavební úřady zajišťují ochranu a rovnováhu dotčených zájmů, které koordinují, a usilují o předcházení jejich rozporům a o naplnění účelu tohoto zákona. Uplatňování požadavku ochrany veřejného zájmu nesmí vést k nepřiměřenému dotčení jiných veřejnýc",7351
PRVNÍ,I,283/2021,5,vlozeni_plny,2,"V § 2 se vkládá nový odstavec 1, který zní: „(1) Dotčené orgány uplatňují stanoviska, vyjádření nebo závazná stanoviska k záležitostem podle tohoto zákona pouze v mezích své působnosti a činí tak co nejdříve a v první fázi, kdy je to možné; přitom dbají, aby se jejich stanoviska, vyjádření nebo závazná stanoviska dotýkala oprávněných zájmů a práv osob jen v nezbytném rozsahu, který je potřebný k o",520
PRVNÍ,I,283/2021,6,nahrazeni,2,V § 2 odst. 3 se slovo „ke“ nahrazuje slovy „k vyjádřením a“.,0
PRVNÍ,I,283/2021,7,doplneni,2,"V § 2 se na konci textu odstavce 4 doplňují slova „ , a ve věcech, které byly vyhodnoceny v závazném stanovisku k posouzení vlivů provedení záměru na životní prostředí podle jiného právního předpisu“.",0
PRVNÍ,I,283/2021,8,doplneni,3,"V § 3 se na konci odstavce 1 doplňuje věta „Změnit své původní vyjádření, stanovisko nebo závazné stanovisko může dotčený orgán též za účelem řešení rozporu, je-li to pro stavebníka příznivější.“.",0
PRVNÍ,I,283/2021,9,zruseni,4,"V § 4 odst. 1 se slova „ , dělení nebo scelování pozemků“ zrušují.",0
PRVNÍ,I,283/2021,10,vlozeni,5,V § 5 odst. 3 se za slovo „záměru“ vkládají slova „nebo více souvisejících záměrů anebo v etapách“.,0
PRVNÍ,I,283/2021,11,vlozeni,5,"V § 5 odst. 4 větě první se za slovo „výstavby“ vkládají slova „ , druh stavby podle odstavce 2 a příslušnost stavebního úřadu k celému“.",0
PRVNÍ,I,283/2021,12,zneni_plny,5,"V § 5 se doplňují odstavce 7 a 8, které znějí: „(7) Stavbou pro hromadné bydlení je stavba nebo soubor staveb s převažující funkcí bydlení s celkovou podlahovou plochou od 10 000 m2. (8) Plánování, příprava, výstavba a provozování veřejné infrastruktury a vyhrazených staveb je ve veřejném zájmu.“.",251
PRVNÍ,I,283/2021,13,zneni_plny,6,"V § 6 odstavec 2 zní: „(2) Změnou dokončené stavby se v tomto zákoně rozumí také změna, která spočívá ve změně a) účelu užívání stavby, ve změně v době trvání dočasné stavby nebo ve změně dočasné stavby na stavbu trvalou, nebo b) činnosti, jejíž účinky by mohly ohrozit život nebo veřejné zdraví, život a zdraví zvířat, bezpečnost nebo životní prostředí.“.",336
PRVNÍ,I,283/2021,14,vlozeni,10,"V § 10 odst. 1 písm. a) se za slova „zejména stavby“ vkládá slovo „cest,“.",0
PRVNÍ,I,283/2021,15,vlozeni_plny,11;1,"V § 11 odst. 1 se za slovo „dokumentaci“ vkládají slova „nebo v zákoně“ a na konci textu odstavce se doplňují slova „a strategická investiční stavba79)“. Poznámka pod čarou č. 79 zní: „79) § 1 odst. 13 zákona č. 416/2009 Sb., o urychlení výstavby strategicky významné infrastruktury, ve znění pozdějších předpisů.“.",130
PRVNÍ,I,283/2021,16,vlozeni,12,V § 12 písm. a) se slova „funkčního využití nebo“ zrušují a za slovo „uspořádání“ se vkládají slova „nebo využití“.,0
PRVNÍ,I,283/2021,17,vlozeni,12,V § 12 písm. c) se slova „zastavěným stavebním“ zrušují a za slovo „pozemkem“ se vkládají slova „zázemí stavby“.,0
PRVNÍ,I,283/2021,18,nahrazeni,12,"V § 12 písm. d) se slova „územním rozvojovém plánu, zásadách územního rozvoje nebo územním plánu, popřípadě v územně plánovacích podkladech, s ohledem na stávající nebo požadovaný způsob využití nebo její význam“ nahrazují slovy „nástrojích územního plánování pro určité prostorové uspořádání nebo využití“.",0
PRVNÍ,I,283/2021,19,doplneni,12,V § 12 se na konci textu písmene e) doplňují slova „v nástrojích územního plánování“.,0
PRVNÍ,I,283/2021,20,nahrazeni,12,"V § 12 písm. g) se slova „svým významem, rozsahem nebo využitím ovlivní území více městských částí“ nahrazují slovy „mají celoměstský význam, rozsah nebo využití“.",0
PRVNÍ,I,283/2021,21,zneni_plny,12;116,"V § 12 písmeno h) zní: „h) zastavitelným územím území vymezené v územním plánu, které obsahuje zastavitelné plochy a nestavební plochy; dále se zastavitelným územím rozumí zastavitelné území vymezené samostatným postupem podle § 116 až 121 (dále jen „vymezení zastavitelného území“),“.",262
PRVNÍ,I,283/2021,22,zneni_plny,12,"V § 12 písmeno j) zní: „j) nestavební plochou plocha v zastavitelném území, která není určena k umístění zástavby, s výjimkou veřejné infrastruktury,“.",126
PRVNÍ,I,283/2021,23,vlozeni_plny,12,"V § 12 se za písmeno j) vkládá nové písmeno k), které zní: „k) nezastavitelným územím území nezahrnuté do zastavitelného území,“. Dosavadní písmena k) až w) se označují jako písmena l) až x).",67
PRVNÍ,I,283/2021,24,nahrazeni,12,"V § 12 písm. l) se slova „transformační plochou“ nahrazují slovy „plochou změny v zastavitelném území zastavitelná nebo nestavební“, slova „k vytvoření zcela nového“ se nahrazují slovy „ke změně“ a slova „vymezená územním rozvojovým plánem, zásadami územního rozvoje nebo v zastavěném území územním plánem“ se zrušují.",0
PRVNÍ,I,283/2021,25,nahrazeni,12,"V § 12 písm. m) se slovo „krajině“ nahrazuje slovy „nezastavitelném území“, slovo „nezastavěného“ se nahrazuje slovem „nezastavitelného“ a slovo „nezastavěném“ se nahrazuje slovem „nezastavitelném“.",0
PRVNÍ,I,283/2021,26,nahrazeni,12,V § 12 písm. n) se slova „pozemky a veřejným prostranstvím“ nahrazují slovy „uličním prostranstvím a bloky“.,0
PRVNÍ,I,283/2021,27,vlozeni_plny,12,"V § 12 se za písmeno n) vkládá nové písmeno o), které zní: „o) blokem ucelená část území tvořená souborem pozemků, jedním pozemkem nebo jeho částí, zpravidla ohraničená uličním prostranstvím a vymezená uliční čarou; bloky se rozlišují na stavební, které jsou určené převážně k zastavění budovami, a nestavební, které jsou určené převážně k nestavebním účelům,“. Dosavadní písmena o) až x) se označují",302
PRVNÍ,I,283/2021,28,nahrazeni,12,"V § 12 písm. p) úvodní části ustanovení se slova „stavební čára může být“ nahrazují slovy „typy stavebních čar stanoví prováděcí právní předpis,“ a body 1 a 2 se zrušují.",0
PRVNÍ,I,283/2021,29,nahrazeni,12,V § 12 písm. u) se slova „měřítku menším“ nahrazují slovy „podrobnosti menší“.,0
PRVNÍ,I,283/2021,30,zneni_plny,13,"V § 13 písmeno d) zní: „d) přístupností vytváření podmínek pro samostatné a bezpečné využití pozemků a staveb podle jejich potřeby a účelu osobami s pohybovým, zrakovým nebo sluchovým postižením s cílem zajištění jejich bezpečnosti a nezbytného bezbariérového užívání,“.",246
PRVNÍ,I,283/2021,31,nahrazeni,13,V § 13 písm. e) se čárka za slovy „bytový dům“ nahrazuje slovem „a“ a slova „ani stavba pro rodinnou rekreaci“ se zrušují.,0
PRVNÍ,I,283/2021,32,vlozeni,13,V § 13 písm. f) se za slovo „s“ vkládá slovo „převažující“.,0
PRVNÍ,I,283/2021,33,vlozeni,13,"V § 13 písm. h) se za slovo „výrobu“ vkládají slova „ , a to i bez nutnosti využití místní půdy,“.",0
PRVNÍ,I,283/2021,34,zneni_plny,13,"V § 13 písmeno o) zní: „o) zastavěnou plochou stavby plocha ohraničená svislými průměty vnějšího líce obvodových konstrukcí, případně jejich spojnic, všech nadzemních i podzemních podlaží do vodorovné roviny; plochy balkonů a arkýřů se nezapočítávají; u objektů poloodkrytých (bez některých obvodových stěn) je zastavěná plocha vymezena obalovými čarami vedenými vnějšími líci svislých konstrukcí do",397
PRVNÍ,I,283/2021,35,nahrazeni,13,V § 13 se na konci písmene p) čárka nahrazuje tečkou a písmeno q) se zrušuje.,0
PRVNÍ,I,283/2021,36,nahrazeni,,V části druhé nadpisu hlavy I se slovo „STAVEBNÍ“ nahrazuje slovem „VEŘEJNÁ“.,0
PRVNÍ,I,283/2021,37,zruseni,15,"V § 15 se slova „Ministerstvo pro místní rozvoj (dále jen „ministerstvo“), orgány územního plánování, stavební úřady, obce, a“ zrušují a na konci textu ustanovení se doplňují slova „ , obce, úřady rozvoje území, Ministerstvo obrany, Ministerstvo spravedlnosti a Ministerstvo vnitra“.",0
PRVNÍ,I,283/2021,38,zneni_plny,16,"§ 16 a 17 včetně nadpisů znějí: „§ 16 Obec a kraj (1) Obec a kraj prosazují a hájí veřejný zájem na všestranném rozvoji svého území a na vytváření podmínek pro bydlení, práci, podnikání a život lidí. (2) K podpoře výkonu působnosti samosprávy podle tohoto zákona a k naplňování cílů tohoto zákona může obec, společenství obcí nebo kraj zřídit útvar architekta nebo jmenovat obecního, městského nebo k",802
PRVNÍ,I,283/2021,39,vlozeni_plny,17;17a,"Za § 17 se vkládají nové § 17a a 17b, které včetně nadpisů znějí: „§ 17a Úřad (1) Úřad je ústředním správním úřadem ve věcech územního plánování, stavebního řádu, vyvlastnění a dalších věcí upravených tímto zákonem. Úřad metodicky sjednocuje činnost orgánů územního plánování a řídí a metodicky sjednocuje činnost stavebních úřadů; dále provádí výzkum, publikační činnost a řeší koncepční otázky teor",3640
PRVNÍ,I,283/2021,40,doplneni,18,"V § 18 se na konci textu odstavce 1 doplňují slova „a v souladu se zásadami uvedenými v části první hlavě I zajišťují koordinaci jejich vyjádření, stanovisek a závazných stanovisek, řešení rozporů a odstraňování vad“.",0
PRVNÍ,I,283/2021,41,zneni_plny,18,"V § 18 odstavec 2 zní: „(2) Orgány územního plánování a stavební úřady mohou nařídit společné jednání s obcemi, kraji nebo dotčenými orgány, a to oznámením nejméně 5 pracovních dnů před jeho konáním, nedohodnou-li se jinak. Společné jednání je neveřejné, o jeho závěrech se sepisuje protokol. Je-li to účelné, lze ke společnému jednání přizvat jiné osoby. Nezúčastní-li se dotčený orgán bez důvodné o",680
PRVNÍ,I,283/2021,42,doplneni,18,"V § 18 se na konci textu odstavce 3 doplňují slova „s tím, že je-li příslušným správním orgánem tentýž úřad, rozhodne o rozporu jeho vedoucí“.",0
PRVNÍ,I,283/2021,43,zneni_plny,19,"§ 19 a 20 včetně nadpisů znějí: „§ 19 Obecná ustanovení (1) Působnost ve věcech územního plánování vykonávají vláda a orgány územního plánování, kterými jsou a) úřady rozvoje území, b) Ministerstvo obrany, c) kraje, d) obce a e) hlavní město Praha. (2) Orgány územního plánování soustavně sledují uplatňování jimi vydané územně plánovací dokumentace a vyhodnocují je. Dojde-li ke změně podmínek, za k",655
PRVNÍ,I,283/2021,44,zneni_plny,21,Nadpis § 21 zní: „Úřady rozvoje území“.,19
PRVNÍ,I,283/2021,45,zneni_plny,21,V § 21 odstavec 1 zní: „(1) Úřad je nadřízeným správním orgánem úřadů rozvoje území krajů jako orgánů územního plánování.“.,98
PRVNÍ,I,283/2021,46,zneni_plny,21,V § 21 odst. 2 úvodní část ustanovení zní: „Úřad“.,4
PRVNÍ,I,283/2021,47,vlozeni,21,"V § 21 odst. 2 se na začátek písmen b), c) a e) vkládají slova „zpracovává a“.",0
PRVNÍ,I,283/2021,48,vlozeni,21,"V § 21 odst. 2 se na začátek písmen d) a f) vkládá slovo „zpracovává,“ a za slovo „pořizuje“ se vkládají slova „a vydává“.",0
PRVNÍ,I,283/2021,49,nahrazeni,21,V § 21 odst. 2 písm. e) se slova „územně plánovací podklady“ nahrazují slovy „územní studie“.,0
PRVNÍ,I,283/2021,50,zruseni,21,"V § 21 odst. 2 písm. f) se slova „o stavební uzávěře, jedná-li se o změny v území“ zrušují.",0
PRVNÍ,I,283/2021,51,zneni_plny,21,"V § 21 odst. 2 písmeno g) zní: „g) poskytuje údaje pro územně analytické podklady,“.",50
PRVNÍ,I,283/2021,52,zruseni,21,V § 21 odst. 2 se písmena h) a i) zrušují. Dosavadní písmeno j) se označuje jako písmeno h).,0
PRVNÍ,I,283/2021,53,zneni_plny,21;47,"V § 21 se doplňují odstavce 3 a 4, které znějí: „(3) Úřad rozvoje území kraje je nadřízeným orgánem krajů a obcí jako orgánů územního plánování. (4) Úřad rozvoje území kraje, případně z jeho pověření jeho územní pracoviště a) vykonává kontrolu ve věcech územního plánování, b) pořizuje územní plán a územní opatření na žádost obce podle § 47 odst. 2, c) pořizuje a vydává vymezení zastavitelného územ",440
PRVNÍ,I,283/2021,54,vlozeni,22,"V § 22 písm. a) se za slovo „pořizuje“ vkládá slovo „ , schvaluje“.",0
PRVNÍ,I,283/2021,55,nahrazeni,22,V § 22 písm. b) se slova „územně plánovací podklady“ nahrazují slovy „územní studie“.,0
PRVNÍ,I,283/2021,56,zneni_plny,22,V § 22 písmeno c) zní: „c) poskytuje údaje pro územně analytické podklady.“.,50
PRVNÍ,I,283/2021,57,zneni_plny,23,"§ 23 včetně nadpisu zní: „§ 23 Kraj Kraj v samostatné působnosti pro své území zpracovává, pořizuje, schvaluje a vydává zásady územního rozvoje, územní studie a územní opatření, poskytuje údaje pro územně analytické podklady a vykonává další územně plánovací činnosti v zájmu rozvoje kraje v rámci svého práva na samosprávu. Při tom jej lze omezit jen na základě zákona a jen v nezbytně nutném rozsah",382
PRVNÍ,I,283/2021,58,zruseni,24,V § 24 odst. 1 se písmeno c) zrušuje. Dosavadní písmena d) a e) se označují jako písmena c) a d).,0
PRVNÍ,I,283/2021,59,nahrazeni,24,V § 24 odst. 1 písm. c) se slovo „vydává“ nahrazuje slovem „schvaluje“.,0
PRVNÍ,I,283/2021,60,nahrazeni,24,V § 24 odst. 1 se na konci písmene c) čárka nahrazuje tečkou a písmeno d) se zrušuje.,0
PRVNÍ,I,283/2021,61,jine,24;42;50;71;71b;71c;71d;71e,"V § 24 odst. 2 písm. b), § 42 odst. 2 větě druhé, § 42 odst. 4 větě první a druhé, § 50 odst. 2, § 71 odst. 2, § 71b odst. 3 větě druhé, § 71c odst. 3, § 71d odst. 3 úvodní části ustanovení, § 71e odst. 3 větě druhé, § 76 odst. 2, § 95 odst. 2, § 154 odst. 3 větě druhé, § 269 odst. 1 písm. e), § 277 odst. 1 úvodní části ustanovení, § 277 odst. 1 písm. f), § 279 odst. 3 a § 300 se slovo „ministerst",0
PRVNÍ,I,283/2021,62,nahrazeni,24,"V § 24 odst. 2 písm. c) se slova „o stavební uzávěře a asanaci území, k jejichž“ nahrazují slovy „ , k jehož“ a slova „krajský úřad“ se nahrazují slovem „kraj“.",0
PRVNÍ,I,283/2021,63,nahrazeni,24,"V § 24 odst. 2 písm. d) se slovo „vydává“ nahrazuje slovem „schvaluje“, slova „o stavební uzávěře a asanaci území“ se zrušují a slova „krajský úřad“ se nahrazují slovem „kraj“.",0
PRVNÍ,I,283/2021,64,zneni_plny,24;73;193,"V § 24 se na konci odstavce 2 tečka nahrazuje slovem „a“ a doplňuje se písmeno f), které zní: „f) uděluje souhlas ke zpřesnění navazující územně plánovací dokumentace podle § 73 odst. 5 nebo k možnosti odchýlit se od územně plánovací dokumentace nebo územního opatření podle § 193 odst. 2.“.",196
PRVNÍ,I,283/2021,65,zneni_plny,25;26,"§ 25 a 26 včetně nadpisů znějí: „§ 25 Společenství obcí Společenství obcí může na základě veřejnoprávní smlouvy s obcí v samostatné působnosti vykonávat odborné činnosti pořizovatele, jimiž se rozumí zpracovávání, pořizování a vydávání nástrojů územního plánování, pro obce, které jsou jeho členem. § 26 Obec Obec v samostatné působnosti pro své území zpracovává, pořizuje, schvaluje a vydává územní",655
PRVNÍ,I,283/2021,66,zruseni,27,V § 27 odst. 1 se písmeno c) zrušuje. Dosavadní písmena d) a e) se označují jako písmena c) a d).,0
PRVNÍ,I,283/2021,67,nahrazeni,27,V § 27 odst. 1 písm. c) se slovo „vydává“ nahrazuje slovem „schvaluje“.,0
PRVNÍ,I,283/2021,68,nahrazeni,27,V § 27 odst. 1 se na konci písmene c) čárka nahrazuje tečkou a písmeno d) se zrušuje.,0
PRVNÍ,I,283/2021,69,jine,27;57;61;114;116;118;119,"V § 27 odst. 2 písm. b), § 57 odst. 1 větě první, § 57 odst. 2, § 61 písm. d), § 114 odst. 5 větě první, druhé a poslední, § 116 odst. 1 větě druhé, § 116 odst. 2 úvodní části ustanovení větě první a druhé, § 116 odst. 3 úvodní části ustanovení a písmenu e) a f), § 118 odst. 1, § 118 odst. 3 úvodní části ustanovení a písmenu a), § 118 odst. 4 úvodní části ustanovení a písmenu a), § 119 odst. 1 vět",0
PRVNÍ,I,283/2021,70,nahrazeni,27,"V § 27 odst. 2 písm. c) se slova „o asanaci území a územního opatření o stavební uzávěře“ zrušují, slova „krajský úřad jako úřad územního plánování,“ se nahrazují slovem „kraj“ a slovo „ministerstvo“ se nahrazuje slovem „Úřad“.",0
PRVNÍ,I,283/2021,71,zruseni,27,V § 27 odst. 2 písm. d) se slova „o stavební uzávěře a o asanaci území“ zrušují.,0
PRVNÍ,I,283/2021,72,nahrazeni,27,V § 27 odst. 2 písm. e) se slovo „vydává“ nahrazuje slovem „schvaluje“ a slova „o stavební uzávěře a o asanaci území“ se zrušují.,0
PRVNÍ,I,283/2021,73,zruseni,27,V § 27 odst. 2 se písmeno f) zrušuje. Dosavadní písmeno g) se označuje jako písmeno f).,0
